,year,name,gender,count
942,1880,John,M,9655
943,1880,William,M,9532
944,1880,James,M,5927
945,1880,Charles,M,5348
946,1880,George,M,5126
947,1880,Frank,M,3242
948,1880,Joseph,M,2632
949,1880,Thomas,M,2534
950,1880,Henry,M,2444
951,1880,Robert,M,2415
952,1880,Edward,M,2364
953,1880,Harry,M,2152
954,1880,Walter,M,1755
955,1880,Arthur,M,1599
956,1880,Fred,M,1569
957,1880,Albert,M,1493
958,1880,Samuel,M,1024
959,1880,David,M,869
960,1880,Louis,M,828
961,1880,Joe,M,731
962,1880,Charlie,M,730
963,1880,Clarence,M,730
964,1880,Richard,M,728
965,1880,Andrew,M,644
966,1880,Daniel,M,643
967,1880,Ernest,M,615
968,1880,Will,M,588
969,1880,Jesse,M,569
970,1880,Oscar,M,544
971,1880,Lewis,M,517
972,1880,Peter,M,496
973,1880,Benjamin,M,490
974,1880,Frederick,M,483
975,1880,Willie,M,476
976,1880,Alfred,M,469
977,1880,Sam,M,457
978,1880,Roy,M,440
979,1880,Herbert,M,424
980,1880,Jacob,M,404
981,1880,Tom,M,399
982,1880,Elmer,M,373
983,1880,Carl,M,372
984,1880,Lee,M,361
985,1880,Howard,M,357
986,1880,Martin,M,357
987,1880,Michael,M,354
988,1880,Bert,M,348
989,1880,Herman,M,347
990,1880,Jim,M,345
991,1880,Francis,M,344
992,1880,Harvey,M,344
993,1880,Earl,M,335
994,1880,Eugene,M,328
995,1880,Ralph,M,317
996,1880,Ed,M,310
997,1880,Claude,M,309
998,1880,Edwin,M,309
999,1880,Ben,M,305
1000,1880,Charley,M,305
1001,1880,Paul,M,301
1002,1880,Edgar,M,283
1003,1880,Isaac,M,274
1004,1880,Otto,M,271
1005,1880,Luther,M,260
1006,1880,Lawrence,M,257
1007,1880,Ira,M,249
1008,1880,Patrick,M,248
1009,1880,Guy,M,239
1010,1880,Oliver,M,234
1011,1880,Theodore,M,232
1012,1880,Hugh,M,224
1013,1880,Clyde,M,221
1014,1880,Alexander,M,211
1015,1880,August,M,210
1016,1880,Floyd,M,206
1017,1880,Homer,M,205
1018,1880,Jack,M,204
1019,1880,Leonard,M,200
1020,1880,Horace,M,199
1021,1880,Marion,M,189
1022,1880,Philip,M,186
1023,1880,Allen,M,184
1024,1880,Archie,M,183
1025,1880,Stephen,M,176
1026,1880,Chester,M,168
1027,1880,Willis,M,166
1028,1880,Raymond,M,165
1029,1880,Rufus,M,163
1030,1880,Warren,M,158
1031,1880,Jessie,M,154
1032,1880,Milton,M,149
1033,1880,Alex,M,147
1034,1880,Leo,M,147
1035,1880,Julius,M,143
1036,1880,Ray,M,142
1037,1880,Sidney,M,142
1038,1880,Bernard,M,140
1039,1880,Dan,M,140
1040,1880,Jerry,M,136
1041,1880,Calvin,M,134
1042,1880,Perry,M,134
1043,1880,Dave,M,131
1044,1880,Anthony,M,130
1045,1880,Eddie,M,129
1046,1880,Amos,M,128
1047,1880,Dennis,M,128
1048,1880,Clifford,M,127
1049,1880,Leroy,M,124
1050,1880,Wesley,M,123
1051,1880,Alonzo,M,122
1052,1880,Garfield,M,122
1053,1880,Franklin,M,120
1054,1880,Emil,M,119
1055,1880,Leon,M,118
1056,1880,Nathan,M,114
1057,1880,Harold,M,113
1058,1880,Matthew,M,113
1059,1880,Levi,M,112
1060,1880,Moses,M,111
1061,1880,Everett,M,110
1062,1880,Lester,M,109
1063,1880,Winfield,M,108
1064,1880,Adam,M,104
1065,1880,Lloyd,M,104
1066,1880,Mack,M,104
1067,1880,Fredrick,M,103
1068,1880,Jay,M,103
1069,1880,Jess,M,103
1070,1880,Melvin,M,103
1071,1880,Noah,M,103
1072,1880,Aaron,M,102
1073,1880,Alvin,M,102
1074,1880,Norman,M,102
1075,1880,Gilbert,M,101
1076,1880,Elijah,M,100
1077,1880,Victor,M,100
1078,1880,Gus,M,99
1079,1880,Nelson,M,99
1080,1880,Jasper,M,98
1081,1880,Silas,M,98
1082,1880,Jake,M,96
1083,1880,Christopher,M,95
1084,1880,Mike,M,95
1085,1880,Percy,M,94
1086,1880,Adolph,M,93
1087,1880,Maurice,M,93
1088,1880,Cornelius,M,92
1089,1880,Felix,M,92
1090,1880,Reuben,M,92
1091,1880,Wallace,M,91
1092,1880,Claud,M,90
1093,1880,Roscoe,M,90
1094,1880,Sylvester,M,89
1095,1880,Earnest,M,88
1096,1880,Hiram,M,88
1097,1880,Otis,M,88
1098,1880,Simon,M,88
1099,1880,Willard,M,88
1100,1880,Irvin,M,86
1101,1880,Mark,M,85
1102,1880,Jose,M,84
1103,1880,Wilbur,M,82
1104,1880,Abraham,M,81
1105,1880,Virgil,M,81
1106,1880,Clinton,M,79
1107,1880,Elbert,M,79
1108,1880,Leslie,M,79
1109,1880,Marshall,M,78
1110,1880,Owen,M,78
1111,1880,Wiley,M,78
1112,1880,Anton,M,77
1113,1880,Morris,M,77
1114,1880,Manuel,M,75
1115,1880,Phillip,M,75
1116,1880,Augustus,M,74
1117,1880,Emmett,M,74
1118,1880,Eli,M,73
1119,1880,Nicholas,M,73
1120,1880,Wilson,M,72
1121,1880,Alva,M,70
1122,1880,Harley,M,70
1123,1880,Newton,M,70
1124,1880,Timothy,M,70
1125,1880,Marvin,M,69
1126,1880,Ross,M,69
1127,1880,Curtis,M,68
1128,1880,Edmund,M,67
1129,1880,Jeff,M,66
1130,1880,Elias,M,65
1131,1880,Harrison,M,65
1132,1880,Stanley,M,65
1133,1880,Columbus,M,64
1134,1880,Lon,M,64
1135,1880,Ora,M,64
1136,1880,Ollie,M,63
1137,1880,Pearl,M,62
1138,1880,Russell,M,62
1139,1880,Solomon,M,62
1140,1880,Arch,M,61
1141,1880,Asa,M,60
1142,1880,Clayton,M,60
1143,1880,Enoch,M,60
1144,1880,Irving,M,60
1145,1880,Mathew,M,60
1146,1880,Nathaniel,M,60
1147,1880,Scott,M,60
1148,1880,Hubert,M,59
1149,1880,Lemuel,M,59
1150,1880,Andy,M,58
1151,1880,Ellis,M,58
1152,1880,Emanuel,M,57
1153,1880,Joshua,M,57
1154,1880,Millard,M,56
1155,1880,Vernon,M,56
1156,1880,Wade,M,56
1157,1880,Cyrus,M,54
1158,1880,Miles,M,54
1159,1880,Rudolph,M,54
1160,1880,Sherman,M,54
1161,1880,Austin,M,53
1162,1880,Bill,M,53
1163,1880,Chas,M,53
1164,1880,Lonnie,M,53
1165,1880,Monroe,M,53
1166,1880,Byron,M,52
1167,1880,Edd,M,52
1168,1880,Emery,M,52
1169,1880,Grant,M,52
1170,1880,Jerome,M,52
1171,1880,Max,M,52
1172,1880,Mose,M,52
1173,1880,Steve,M,52
1174,1880,Gordon,M,51
1175,1880,Abe,M,50
1176,1880,Pete,M,50
1177,1880,Chris,M,49
1178,1880,Clark,M,49
1179,1880,Gustave,M,49
1180,1880,Orville,M,49
1181,1880,Lorenzo,M,48
1182,1880,Bruce,M,47
1183,1880,Marcus,M,47
1184,1880,Preston,M,47
1185,1880,Bob,M,46
1186,1880,Dock,M,46
1187,1880,Donald,M,46
1188,1880,Jackson,M,46
1189,1880,Cecil,M,45
1190,1880,Barney,M,44
1191,1880,Delbert,M,44
1192,1880,Edmond,M,44
1193,1880,Anderson,M,43
1194,1880,Christian,M,43
1195,1880,Glenn,M,43
1196,1880,Jefferson,M,43
1197,1880,Luke,M,43
1198,1880,Neal,M,43
1199,1880,Burt,M,42
1200,1880,Ike,M,42
1201,1880,Myron,M,42
1202,1880,Tony,M,42
1203,1880,Conrad,M,41
1204,1880,Joel,M,41
1205,1880,Matt,M,41
1206,1880,Riley,M,41
1207,1880,Vincent,M,41
1208,1880,Emory,M,40
1209,1880,Isaiah,M,40
1210,1880,Nick,M,40
1211,1880,Ezra,M,39
1212,1880,Green,M,39
1213,1880,Juan,M,39
1214,1880,Clifton,M,38
1215,1880,Lucius,M,38
1216,1880,Porter,M,38
1217,1880,Arnold,M,37
1218,1880,Bud,M,37
1219,1880,Jeremiah,M,37
1220,1880,Taylor,M,37
1221,1880,Forrest,M,36
1222,1880,Roland,M,36
